evaluation,label
"价格很优惠，快递也很给力，第二天就收到了。
当天马上用了一张，保湿效果不错，精华液很多，多余的还可以涂抹脖子。
每周用3次，希望优惠活动一直有，也希望皮肤能越来越好。
使用感受：滋润
补水效果：不错
贴合效果：很好贴合",0
面膜便宜，使用起来也不错，适合所有的肤质，补水家果不错，特别路冬天，皮肤干燥，敷完面膜感觉舒服很多，也比较多片，整体感觉还是不错的，用完之后还会回购&hellip;&hellip;,1
韩后面膜真的很好用，超薄柔软，细致服帖，足量的精华液，敷在脸上非常舒服，补水效果很好，适合我的肌肤，双十一购买价格实惠。京东快递服务一流。,0
效果勉勉强强吧，就是补水的面膜而已，精华液也挺多，也不刺激皮肤，比较温和，作为日常的补水工具也是不错的选择，毕竟不是很贵,1
第一次用韩后的面膜，试着下了一单，里面有两种功效的，味道炒好闻，很清新的味道！用了一段时间可以舒缓皮肤泛红补水效果也是炒鸡赞！用完上妆炒服帖，爱了爱了～姐妹们一定要入手！,1
不油腻，很清爽，很好推开，味道也很好闻不油腻，很清爽，很好推开，味道也很好闻,0
产品是非常不错的，价格非常的实惠，产品质感非常好，没有那么的黏腻。使用起来也是非常的舒爽，非常适合干性皮肤，适合补水使用，贴合效果也是可以的。,0
"产品质感：透明贴敷，轻盈透彻。
补水效果：一年四季都适合使用，冬天气候干爽，需要。夏天太阳暴晒也是需要补水

性价比超高的面膜。老公出差都要带上，两公婆躺着敷面膜，做精致的孩子。",1
我很喜欢在京东上面买东西，产品总体不错，很喜欢，也非常好用，物美价廉，又包装严实，点赞啦！快递发货也非常快，基本上是今天买第二天就到，非常方便。,0
活动的时候价格很合适，然后买下来也价格不贵，整个包装和质量还是不错的，还送了一点礼品，然后希望后面还有更好的活动，包括付下来的感觉要更好一些就更好了,1
买了两大盒，价格非常优惠，早晚敷膜没负担。精华液很充分，没有过敏或其他不适。敷过以后脸上比较舒服。这个夏天就锁定这款了。,0
一直有在回购这款面膜，补水效果还不错，适合干皮日常补水，膜布贴在脸上很服帖，精华很多，顺便敷下脖子，大品牌值得信赖，好评！,0
也是别人推荐的，说是用的挺好，自己也下了一单，确实效果很不错，可以推荐一下，30片效果也很好，可以可以。补水效果也非常好适合各类皮肤。,0
一直有在回购这款面膜，精华很足，膜布贴在脸上很服帖，适合干皮日常补水用，效果还不错，大品牌值得信赖，在京东上买送货也很快。,0
好大一盒面膜，够用一段时间了。***精华面膜，用起来方便 省事，一周用3&mdash;4次。一下子买了2盒，总共60片，看起来很不错,1
非常好用的一款面膜，无论是价格还是性价比都是非常不错的，补水效果还是非常的好，价钱也不贵，同等价位性价比非常的高，很满意。,0
很不错的面膜，质量好，用着舒服，皮肤感觉美美的，推荐大家购买的产品。价格也很美丽，物美价廉物超所值，主要还是产品好，用着舒服。,0
第一次尝试买，还没时间用,0
很多水，敷得很舒服，一如既往地喜欢。以前就用可好长时间，后面换过好多，还是这个最值还好用。,0
上脸很服帖，活动买的很划算，直接买了三十片一大盒囤着，因为到夏天了要紧急补水，没有丑女人只有懒女人，皮肤干燥会引发很多问题，比如：浮粉，发红，，起皮等等，买来基本每天晚上都会敷，想快速改善皮肤缺水状态，周末在家有时候早晚都会敷，然后一整天不用涂抹水乳等，感觉皮肤都很好,0
经济实惠，补水效果明显，之前用的牌子也可以，这次尝试了一下新的体验感不错，以后会继续购买，比较轻薄贴到脸上，很适合偶尔缺水的人群，,0
开始买了5片装，太好用了，又回购了一大盒，膜布柔软服帖轻薄。小脸女生适合，精华也够够的，这性价比，这材质。希望不要断产，一直有,1
京东物流一如既往的快，第一天下单，第二天就到了，这段时间脸很干，买个面膜敷一敷，价格挺合适的，便宜，希望好用吧，用了再评价,0
